=== podejscie 1, 2026-08-16 01:52:58 CEST ===
[283/480] F9-X b=12 q=16 NO_R1_NO_R2 p99=2584340 ns
[284/480] F9-X b=12 q=16 DEFAULT p99=1931217 ns
[285/480] F9-X b=12 q=32 DEFAULT p99=3589105 ns
[286/480] F9-X b=12 q=32 NO_R1_FACTOR p99=4053554 ns
[287/480] F9-X b=12 q=32 NO_R2_CANON p99=3679857 ns
[288/480] F9-X b=12 q=32 NO_R1_NO_R2 p99=4198758 ns
[289/480] F9-X b=13 q=1 NO_R2_CANON p99=408106 ns
[290/480] F9-X b=13 q=1 NO_R1_FACTOR p99=539270 ns
[291/480] F9-X b=13 q=1 NO_R1_NO_R2 p99=536382 ns
[292/480] F9-X b=13 q=1 DEFAULT p99=451458 ns
[293/480] F9-X b=13 q=2 NO_R1_NO_R2 p99=688121 ns
[294/480] F9-X b=13 q=2 NO_R2_CANON p99=594937 ns
[295/480] F9-X b=13 q=2 DEFAULT p99=624047 ns
[296/480] F9-X b=13 q=2 NO_R1_FACTOR p99=696565 ns
[297/480] F9-X b=13 q=4 NO_R1_NO_R2 p99=1222930 ns
[298/480] F9-X b=13 q=4 NO_R2_CANON p99=873804 ns
[299/480] F9-X b=13 q=4 DEFAULT p99=804954 ns
[300/480] F9-X b=13 q=4 NO_R1_FACTOR p99=1240503 ns
[301/480] F9-X b=13 q=8 DEFAULT p99=1213263 ns
[302/480] F9-X b=13 q=8 NO_R1_NO_R2 p99=1765016 ns
[303/480] F9-X b=13 q=8 NO_R1_FACTOR p99=1624279 ns
[304/480] F9-X b=13 q=8 NO_R2_CANON p99=1259524 ns
[305/480] F9-X b=13 q=16 NO_R1_FACTOR p99=2397270 ns
[306/480] F9-X b=13 q=16 NO_R2_CANON p99=2071088 ns
[307/480] F9-X b=13 q=16 NO_R1_NO_R2 p99=2523212 ns
[308/480] F9-X b=13 q=16 DEFAULT p99=1930052 ns
[309/480] F9-X b=13 q=32 DEFAULT p99=3552977 ns
[310/480] F9-X b=13 q=32 NO_R1_NO_R2 p99=4266932 ns
[311/480] F9-X b=13 q=32 NO_R2_CANON p99=3556495 ns
[312/480] F9-X b=13 q=32 NO_R1_FACTOR p99=3921991 ns
[313/480] F9-X b=14 q=1 NO_R1_FACTOR p99=537345 ns
[314/480] F9-X b=14 q=1 DEFAULT p99=424754 ns
[315/480] F9-X b=14 q=1 NO_R1_NO_R2 p99=549975 ns
[316/480] F9-X b=14 q=1 NO_R2_CANON p99=440217 ns
[317/480] F9-X b=14 q=2 NO_R1_FACTOR p99=700436 ns
[318/480] F9-X b=14 q=2 NO_R2_CANON p99=576715 ns
[319/480] F9-X b=14 q=2 NO_R1_NO_R2 p99=710158 ns
[320/480] F9-X b=14 q=2 DEFAULT p99=564978 ns
[321/480] F9-X b=14 q=4 NO_R2_CANON p99=835124 ns
[322/480] F9-X b=14 q=4 NO_R1_FACTOR p99=1248342 ns
[323/480] F9-X b=14 q=4 NO_R1_NO_R2 p99=1226934 ns
[324/480] F9-X b=14 q=4 DEFAULT p99=772159 ns
[325/480] F9-X b=14 q=8 DEFAULT p99=1214933 ns
[326/480] F9-X b=14 q=8 NO_R1_FACTOR p99=1619059 ns
[327/480] F9-X b=14 q=8 NO_R2_CANON p99=1269821 ns
[328/480] F9-X b=14 q=8 NO_R1_NO_R2 p99=1788797 ns
[329/480] F9-X b=14 q=16 DEFAULT p99=1998535 ns
[330/480] F9-X b=14 q=16 NO_R2_CANON p99=2077904 ns
[331/480] F9-X b=14 q=16 NO_R1_NO_R2 p99=2544325 ns
[332/480] F9-X b=14 q=16 NO_R1_FACTOR p99=2397105 ns
[333/480] F9-X b=14 q=32 NO_R1_NO_R2 p99=4231788 ns
[334/480] F9-X b=14 q=32 NO_R2_CANON p99=3677942 ns
[335/480] F9-X b=14 q=32 DEFAULT p99=3612146 ns
[336/480] F9-X b=14 q=32 NO_R1_FACTOR p99=4046585 ns
[337/480] F9-X b=15 q=1 NO_R1_NO_R2 p99=536605 ns
[338/480] F9-X b=15 q=1 NO_R2_CANON p99=444310 ns
[339/480] F9-X b=15 q=1 DEFAULT p99=442514 ns
[340/480] F9-X b=15 q=1 NO_R1_FACTOR p99=541161 ns
[341/480] F9-X b=15 q=2 NO_R2_CANON p99=635697 ns
[342/480] F9-X b=15 q=2 NO_R1_NO_R2 p99=691381 ns
[343/480] F9-X b=15 q=2 DEFAULT p99=607863 ns
[344/480] F9-X b=15 q=2 NO_R1_FACTOR p99=705455 ns
[345/480] F9-X b=15 q=4 NO_R1_FACTOR p99=1225079 ns
[346/480] F9-X b=15 q=4 NO_R2_CANON p99=845009 ns
[347/480] F9-X b=15 q=4 NO_R1_NO_R2 p99=1222412 ns
[348/480] F9-X b=15 q=4 DEFAULT p99=734844 ns
[349/480] F9-X b=15 q=8 NO_R2_CANON p99=1225320 ns
[350/480] F9-X b=15 q=8 DEFAULT p99=1132006 ns
[351/480] F9-X b=15 q=8 NO_R1_FACTOR p99=1620445 ns
[352/480] F9-X b=15 q=8 NO_R1_NO_R2 p99=1766499 ns
[353/480] F9-X b=15 q=16 DEFAULT p99=1911016 ns
[354/480] F9-X b=15 q=16 NO_R1_FACTOR p99=2382433 ns
[355/480] F9-X b=15 q=16 NO_R2_CANON p99=2070447 ns
[356/480] F9-X b=15 q=16 NO_R1_NO_R2 p99=2578425 ns
[357/480] F9-X b=15 q=32 NO_R2_CANON p99=3611278 ns
[358/480] F9-X b=15 q=32 NO_R1_NO_R2 p99=4188550 ns
[359/480] F9-X b=15 q=32 DEFAULT p99=3576605 ns
[360/480] F9-X b=15 q=32 NO_R1_FACTOR p99=4022988 ns
[361/480] F9-X b=16 q=1 NO_R1_NO_R2 p99=542825 ns
[362/480] F9-X b=16 q=1 DEFAULT p99=412142 ns
[363/480] F9-X b=16 q=1 NO_R2_CANON p99=414197 ns
[364/480] F9-X b=16 q=1 NO_R1_FACTOR p99=534807 ns
[365/480] F9-X b=16 q=2 NO_R2_CANON p99=577806 ns
[366/480] F9-X b=16 q=2 DEFAULT p99=585121 ns
[367/480] F9-X b=16 q=2 NO_R1_NO_R2 p99=693471 ns
[368/480] F9-X b=16 q=2 NO_R1_FACTOR p99=682675 ns
[369/480] F9-X b=16 q=4 NO_R1_FACTOR p99=1525812 ns
[370/480] F9-X b=16 q=4 NO_R1_NO_R2 p99=1238780 ns
[371/480] F9-X b=16 q=4 DEFAULT p99=746679 ns
[372/480] F9-X b=16 q=4 NO_R2_CANON p99=832511 ns
[373/480] F9-X b=16 q=8 NO_R1_NO_R2 p99=1747705 ns
[374/480] F9-X b=16 q=8 NO_R2_CANON p99=1214488 ns
[375/480] F9-X b=16 q=8 NO_R1_FACTOR p99=1608001 ns
[376/480] F9-X b=16 q=8 DEFAULT p99=1146339 ns
[377/480] F9-X b=16 q=16 NO_R1_NO_R2 p99=2571914 ns
[378/480] F9-X b=16 q=16 NO_R2_CANON p99=2031977 ns
[379/480] F9-X b=16 q=16 NO_R1_FACTOR p99=2409286 ns
[380/480] F9-X b=16 q=16 DEFAULT p99=1955403 ns
[381/480] F9-X b=16 q=32 NO_R1_NO_R2 p99=4224429 ns
[382/480] F9-X b=16 q=32 NO_R1_FACTOR p99=4040728 ns
[383/480] F9-X b=16 q=32 DEFAULT p99=3561308 ns
