plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n3,HASH,147/2294,17,17,18,17,17,17,1,0,1,0,4,4,4,4,1,1,21,21,1,16,17,0,1,0,
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n4,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n5,AGSE,147/2294,13,13,16,13,13,15,1,0,1,0,5,5,5,5,1,1,18,18,1,12,13,0,1,0,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n0,PASS,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n1,SHIFT,1/100,0,0,0,0,0,0,1,1,1,1,3,3,3,3,1,1,3,3,1,0,0,0,0,0,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n2,HASH,1/103,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n3,PASS,1/103,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,2,2,0,0,0,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n4,SHIFT,1/3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
2433,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n5,HASH,1/200,1,1,4,1,1,3,1,0,1,0,6,6,6,6,1,1,7,7,1,0,1,0,1,0,
2434,HC_SINGLE,HC_SINGLE,2,n0,REDUCE,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2434,HC_SINGLE,HC_SINGLE,2,n1,REDUCE,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n0,AGSE,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n1,NTHETA,2/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n2,NTHETA,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n3,SUB,4/3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n4,HASH,4/35,23,12,12,23,12,12,0,0,1,1,0,0,0,0,1,1,23,12,0,0,11,0,12,1,
2435,HC_DEEP,"HC_DEEP,HC_NONINT",6,n5,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n0,PASS,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n1,PASS,1/16,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n2,PASS,1/16,0,0,3,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n3,PASS,1/16,0,0,4,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n4,PASS,1/16,0,0,4,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2436,PASS,"HC_DEEP,HC_SINGLE",6,n5,PASS,1/16,0,0,5,0,0,4,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2437,SHIFT,HC_SINGLE,2,n0,SHIFT,2/5,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
2437,SHIFT,HC_SINGLE,2,n1,SHIFT,2/5,0,0,0,0,0,0,1,1,1,1,11,11,11,11,1,1,11,11,1,0,0,0,0,0,
2438,HASH,HC_NONINT,2,n0,HASH,147/15700,16,16,16,16,16,16,1,1,1,1,0,0,0,0,1,1,16,16,1,0,15,0,16,1,
2438,HASH,HC_NONINT,2,n1,HASH,147/15700,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
2439,ADD,,2,n0,ADD,1/5,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
2439,ADD,,2,n1,ADD,1/5,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
