family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	NO_R1_NO_R2	16	7	1541093	2243714	40000000	0
F9-R2	NO_R2_CANON	16	7	1609296	2212307	40000000	0
F9-R2	DEFAULT	16	8	1548426	2059643	40000000	0
F9-R2	NO_R1_FACTOR	16	8	1532335	1841979	40000000	0
F9-R2	NO_R1_NO_R2	16	8	1551130	2093420	40000000	0
F9-R2	NO_R2_CANON	16	8	1582723	2105087	40000000	0
F9-R2	DEFAULT	16	9	1545001	1958849	40000000	0
F9-R2	NO_R1_FACTOR	16	9	1540650	1919443	40000000	0
F9-R2	NO_R1_NO_R2	16	9	1607593	2293827	40000000	0
F9-R2	NO_R2_CANON	16	9	1616131	2315067	40000000	0
F9-R2	DEFAULT	16	10	1475630	2050161	40000000	0
F9-R2	NO_R1_FACTOR	16	10	1540352	2035698	40000000	0
F9-R2	NO_R1_NO_R2	16	10	1610055	2289362	40000000	0
F9-R2	NO_R2_CANON	16	10	1619110	2377397	40000000	0
F9-R2	DEFAULT	16	11	1555870	1951106	40000000	0
F9-R2	NO_R1_FACTOR	16	11	1536723	2199900	40000000	0
F9-R2	NO_R1_NO_R2	16	11	1601129	2079679	40000000	0
F9-R2	NO_R2_CANON	16	11	1608240	2093346	40000000	0
F9-R2	DEFAULT	16	12	1548166	1913236	40000000	0
F9-R2	NO_R1_FACTOR	16	12	1520278	1881848	40000000	0
F9-R2	NO_R1_NO_R2	16	12	1622796	2155196	40000000	0
F9-R2	NO_R2_CANON	16	12	1620537	2324749	40000000	0
F9-R2	DEFAULT	16	13	1546185	2234251	40000000	0
F9-R2	NO_R1_FACTOR	16	13	1554574	2181937	40000000	0
F9-R2	NO_R1_NO_R2	16	13	1614907	2162771	40000000	0
F9-R2	NO_R2_CANON	16	13	1614481	2108604	40000000	0
F9-R2	DEFAULT	16	14	1491800	2179385	40000000	0
F9-R2	NO_R1_FACTOR	16	14	1534205	1926238	40000000	0
F9-R2	NO_R1_NO_R2	16	14	1609650	2333439	40000000	0
F9-R2	NO_R2_CANON	16	14	1544670	2090794	40000000	0
F9-R2	DEFAULT	16	15	1466668	2115901	40000000	0
F9-R2	NO_R1_FACTOR	16	15	1541872	1953107	40000000	0
F9-R2	NO_R1_NO_R2	16	15	1618129	2185327	40000000	0
F9-R2	NO_R2_CANON	16	15	1621389	2188401	40000000	0
F9-R2	DEFAULT	16	16	1549669	2214810	40000000	0
F9-R2	NO_R1_FACTOR	16	16	1541799	1994646	40000000	0
F9-R2	NO_R1_NO_R2	16	16	1615427	2215808	40000000	0
F9-R2	NO_R2_CANON	16	16	1617112	2271659	40000000	0
F9-R2	DEFAULT	16	17	1545278	1883275	40000000	0
F9-R2	NO_R1_FACTOR	16	17	1517853	1895329	40000000	0
F9-R2	NO_R1_NO_R2	16	17	1621407	2280269	40000000	0
F9-R2	NO_R2_CANON	16	17	1618444	2150863	40000000	0
F9-R2	DEFAULT	16	18	1548074	2065494	40000000	0
F9-R2	NO_R1_FACTOR	16	18	1466627	2055321	40000000	0
F9-R2	NO_R1_NO_R2	16	18	1605278	2327214	40000000	0
F9-R2	NO_R2_CANON	16	18	1629851	1986181	40000000	0
F9-R2	DEFAULT	16	19	1474279	1907293	40000000	0
F9-R2	NO_R1_FACTOR	16	19	1460724	2096328	40000000	0
F9-R2	NO_R1_NO_R2	16	19	1614426	2052847	40000000	0
F9-R2	NO_R2_CANON	16	19	1578519	2217382	40000000	0
F9-R2	DEFAULT	16	20	1498186	1790811	40000000	0
F9-R2	NO_R1_FACTOR	16	20	1530407	2018883	40000000	0
F9-R2	NO_R1_NO_R2	16	20	1614703	2234696	40000000	0
F9-R2	NO_R2_CANON	16	20	1612129	2307305	40000000	0
F9-R2	DEFAULT	32	1	3087686	3691457	40000000	0
F9-R2	NO_R1_FACTOR	32	1	2929280	3584550	40000000	0
F9-R2	NO_R1_NO_R2	32	1	3152852	3941380	40000000	0
F9-R2	NO_R2_CANON	32	1	3160167	3929195	40000000	0
F9-R2	DEFAULT	32	2	3096463	4116766	40000000	0
F9-R2	NO_R1_FACTOR	32	2	3081889	3730196	40000000	0
F9-R2	NO_R1_NO_R2	32	2	3003928	3752492	40000000	0
F9-R2	NO_R2_CANON	32	2	3152926	3941472	40000000	0
F9-R2	DEFAULT	32	3	3006930	3985882	40000000	0
F9-R2	NO_R1_FACTOR	32	3	2930356	3764532	40000000	0
F9-R2	NO_R1_NO_R2	32	3	3135482	4538466	40000000	0
F9-R2	NO_R2_CANON	32	3	3154594	3975992	40000000	0
F9-R2	DEFAULT	32	4	2954835	3805159	40000000	0
F9-R2	NO_R1_FACTOR	32	4	3065240	3940786	40000000	0
F9-R2	NO_R1_NO_R2	32	4	3004501	4213431	40000000	0
F9-R2	NO_R2_CANON	32	4	3158314	4270023	40000000	0
F9-R2	DEFAULT	32	5	3084723	3758771	40000000	0
F9-R2	NO_R1_FACTOR	32	5	3082168	3959640	40000000	0
F9-R2	NO_R1_NO_R2	32	5	2998910	3692476	40000000	0
