=== podejscie 1, 2026-08-14 17:29:52 CEST ===
[198/480] F9-R2 b=9 q=2 NO_R1_NO_R2 p99=354421 ns
[199/480] F9-R2 b=9 q=2 NO_R2_CANON p99=329051 ns
[200/480] F9-R2 b=9 q=2 NO_R1_FACTOR p99=341736 ns
[201/480] F9-R2 b=9 q=4 NO_R1_NO_R2 p99=627566 ns
[202/480] F9-R2 b=9 q=4 NO_R2_CANON p99=622288 ns
[203/480] F9-R2 b=9 q=4 DEFAULT p99=556696 ns
[204/480] F9-R2 b=9 q=4 NO_R1_FACTOR p99=563123 ns
[205/480] F9-R2 b=9 q=8 NO_R2_CANON p99=1035542 ns
[206/480] F9-R2 b=9 q=8 NO_R1_NO_R2 p99=1032598 ns
[207/480] F9-R2 b=9 q=8 NO_R1_FACTOR p99=952655 ns
[208/480] F9-R2 b=9 q=8 DEFAULT p99=961122 ns
[209/480] F9-R2 b=9 q=16 NO_R1_FACTOR p99=1807539 ns
[210/480] F9-R2 b=9 q=16 NO_R2_CANON p99=1894148 ns
[211/480] F9-R2 b=9 q=16 DEFAULT p99=1810352 ns
[212/480] F9-R2 b=9 q=16 NO_R1_NO_R2 p99=1863517 ns
[213/480] F9-R2 b=9 q=32 DEFAULT p99=3474703 ns
[214/480] F9-R2 b=9 q=32 NO_R1_FACTOR p99=3416220 ns
[215/480] F9-R2 b=9 q=32 NO_R1_NO_R2 p99=3498442 ns
[216/480] F9-R2 b=9 q=32 NO_R2_CANON p99=3510996 ns
[217/480] F9-R2 b=10 q=1 NO_R2_CANON p99=163090 ns
[218/480] F9-R2 b=10 q=1 DEFAULT p99=166757 ns
[219/480] F9-R2 b=10 q=1 NO_R1_NO_R2 p99=179091 ns
[220/480] F9-R2 b=10 q=1 NO_R1_FACTOR p99=167775 ns
[221/480] F9-R2 b=10 q=2 NO_R1_FACTOR p99=367255 ns
[222/480] F9-R2 b=10 q=2 NO_R1_NO_R2 p99=354329 ns
[223/480] F9-R2 b=10 q=2 DEFAULT p99=343422 ns
[224/480] F9-R2 b=10 q=2 NO_R2_CANON p99=338496 ns
[225/480] F9-R2 b=10 q=4 NO_R1_FACTOR p99=547270 ns
[226/480] F9-R2 b=10 q=4 NO_R2_CANON p99=641677 ns
[227/480] F9-R2 b=10 q=4 NO_R1_NO_R2 p99=609622 ns
[228/480] F9-R2 b=10 q=4 DEFAULT p99=597974 ns
[229/480] F9-R2 b=10 q=8 NO_R1_NO_R2 p99=1041876 ns
[230/480] F9-R2 b=10 q=8 NO_R2_CANON p99=1061191 ns
[231/480] F9-R2 b=10 q=8 DEFAULT p99=969211 ns
[232/480] F9-R2 b=10 q=8 NO_R1_FACTOR p99=973488 ns
[233/480] F9-R2 b=10 q=16 NO_R2_CANON p99=1915162 ns
[234/480] F9-R2 b=10 q=16 NO_R1_NO_R2 p99=2119807 ns
[235/480] F9-R2 b=10 q=16 NO_R1_FACTOR p99=1782293 ns
[236/480] F9-R2 b=10 q=16 DEFAULT p99=1869310 ns
[237/480] F9-R2 b=10 q=32 NO_R1_NO_R2 p99=3506827 ns
[238/480] F9-R2 b=10 q=32 NO_R1_FACTOR p99=3405773 ns
[239/480] F9-R2 b=10 q=32 DEFAULT p99=3447013 ns
[240/480] F9-R2 b=10 q=32 NO_R2_CANON p99=3519752 ns
[241/480] F9-R2 b=11 q=1 DEFAULT p99=191461 ns
[242/480] F9-R2 b=11 q=1 NO_R1_FACTOR p99=160590 ns
[243/480] F9-R2 b=11 q=1 NO_R1_NO_R2 p99=158165 ns
[244/480] F9-R2 b=11 q=1 NO_R2_CANON p99=163184 ns
[245/480] F9-R2 b=11 q=2 DEFAULT p99=328126 ns
[246/480] F9-R2 b=11 q=2 NO_R1_NO_R2 p99=370718 ns
[247/480] F9-R2 b=11 q=2 NO_R1_FACTOR p99=335237 ns
[248/480] F9-R2 b=11 q=2 NO_R2_CANON p99=339514 ns
[249/480] F9-R2 b=11 q=4 DEFAULT p99=571567 ns
[250/480] F9-R2 b=11 q=4 NO_R1_NO_R2 p99=639252 ns
[251/480] F9-R2 b=11 q=4 NO_R1_FACTOR p99=561011 ns
[252/480] F9-R2 b=11 q=4 NO_R2_CANON p99=629103 ns
[253/480] F9-R2 b=11 q=8 NO_R1_FACTOR p99=968877 ns
[254/480] F9-R2 b=11 q=8 NO_R1_NO_R2 p99=1060728 ns
[255/480] F9-R2 b=11 q=8 DEFAULT p99=966025 ns
[256/480] F9-R2 b=11 q=8 NO_R2_CANON p99=1054913 ns
[257/480] F9-R2 b=11 q=16 NO_R2_CANON p99=1830867 ns
[258/480] F9-R2 b=11 q=16 DEFAULT p99=1805533 ns
[259/480] F9-R2 b=11 q=16 NO_R1_FACTOR p99=1821515 ns
[260/480] F9-R2 b=11 q=16 NO_R1_NO_R2 p99=1881680 ns
[261/480] F9-R2 b=11 q=32 NO_R2_CANON p99=3514400 ns
[262/480] F9-R2 b=11 q=32 NO_R1_FACTOR p99=3538456 ns
[263/480] F9-R2 b=11 q=32 DEFAULT p99=3488734 ns
[264/480] F9-R2 b=11 q=32 NO_R1_NO_R2 p99=3475253 ns
[265/480] F9-R2 b=12 q=1 NO_R2_CANON p99=167887 ns
[266/480] F9-R2 b=12 q=1 NO_R1_FACTOR p99=173072 ns
[267/480] F9-R2 b=12 q=1 DEFAULT p99=143165 ns
[268/480] F9-R2 b=12 q=1 NO_R1_NO_R2 p99=159683 ns
[269/480] F9-R2 b=12 q=2 DEFAULT p99=325977 ns
[270/480] F9-R2 b=12 q=2 NO_R1_FACTOR p99=337940 ns
[271/480] F9-R2 b=12 q=2 NO_R1_NO_R2 p99=334699 ns
[272/480] F9-R2 b=12 q=2 NO_R2_CANON p99=338607 ns
[273/480] F9-R2 b=12 q=4 DEFAULT p99=536179 ns
[274/480] F9-R2 b=12 q=4 NO_R2_CANON p99=646529 ns
[275/480] F9-R2 b=12 q=4 NO_R1_NO_R2 p99=685695 ns
[276/480] F9-R2 b=12 q=4 NO_R1_FACTOR p99=542401 ns
[277/480] F9-R2 b=12 q=8 NO_R2_CANON p99=1075154 ns
[278/480] F9-R2 b=12 q=8 NO_R1_NO_R2 p99=1044598 ns
[279/480] F9-R2 b=12 q=8 DEFAULT p99=973358 ns
[280/480] F9-R2 b=12 q=8 NO_R1_FACTOR p99=971303 ns
[281/480] F9-R2 b=12 q=16 NO_R1_FACTOR p99=1824292 ns
[282/480] F9-R2 b=12 q=16 NO_R1_NO_R2 p99=1831793 ns
[283/480] F9-R2 b=12 q=16 NO_R2_CANON p99=1893458 ns
[284/480] F9-R2 b=12 q=16 DEFAULT p99=1825293 ns
[285/480] F9-R2 b=12 q=32 NO_R2_CANON p99=3520364 ns
[286/480] F9-R2 b=12 q=32 DEFAULT p99=3443809 ns
