plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1402,HASH,n3,1/8,1/2,4,0,4,4
1409,HC_NONINT,n0,2/3,1/4,2,0,2,2
1413,HC_DEEP,n0,1/16,1/4,4,0,4,4
1416,HASH,n0,1/4,1/8,1,0,1,1
1416,HASH,n1,1/8,1/4,2,0,2,2
1416,HASH,n2,1/4,1/8,1,0,1,1
1423,HC_NONINT,n0,1/10,1/16,2,0,2,2
1423,HC_NONINT,n1,1/10,1/16,2,0,2,2
1425,HC_INT,n0,1/8,1/8,1,0,1,1
1430,HASH,n0,5/8,1,3,0,3,3
1430,HASH,n1,4/25,1,7,0,7,7
1437,HC_NONINT,n0,1/100,3/10,30,0,30,30
1444,HASH,n0,1/3,1/16,2,0,2,2
1451,HC_NONINT,n0,1/8,1/4,2,0,2,2
1453,HC_INT,n1,2/3,2/3,1,0,1,1
1453,HC_INT,n3,4/25,2/3,5,0,5,5
1458,HASH,n0,147/1000,1/5,3,0,3,3
1465,HC_NONINT,n2,1/16,3/10,6,0,6,6
1467,HC_INT,n0,1/5,1/5,1,0,1,1
1472,HASH,n0,1/16,1/100,2,0,2,2
1472,HASH,n1,1/100,1/16,7,0,7,7
1479,HC_NONINT,n2,1/10,1/3,4,0,4,4
1486,HASH,n0,2/5,5/8,3,0,3,3
1493,HC_NONINT,n2,2/5,2/5,1,0,1,1
1494,HC_SHIFT_UNDER_HASH,n0,1/10,2/5,4,0,4,4
1497,HC_DEEP,n0,1/5,4/25,2,0,2,2
1500,HASH,n0,147/1000,147/1000,1,0,1,1
1507,HC_NONINT,n1,5/8,4/25,2,0,2,2
1514,HASH,n0,1/4,3/10,2,0,2,2
1514,HASH,n1,1/4,3/10,2,0,2,2
1521,HC_NONINT,n0,4/25,5/8,5,0,5,5
1523,HC_INT,n2,2/3,2/3,1,0,1,1
1528,HASH,n0,1/16,1/16,1,0,1,1
1535,HC_NONINT,n0,1/8,1/3,4,0,4,4
1537,HC_INT,n1,4/25,4/25,1,0,1,1
1539,HC_DEEP,n1,1/16,1,16,0,16,16
1542,HASH,n0,2/5,1/3,2,0,2,2
1549,HC_NONINT,n2,4/25,147/1000,2,0,2,2
1551,HC_INT,n1,1/2,1/4,1,0,1,1
1556,HASH,n0,147/1000,1/4,3,0,3,3
1556,HASH,n1,1/4,147/1000,2,0,2,2
1563,HC_NONINT,n0,4/25,1,7,0,7,7
1564,HC_SHIFT_UNDER_HASH,n3,1/8,2/3,6,0,6,6
1570,HASH,n0,5/8,1/16,1,0,1,1
1570,HASH,n2,5/8,1/16,1,0,1,1
1577,HC_NONINT,n4,1/3,1/100,2,0,2,2
1579,HC_INT,n0,3/8,3/8,1,0,1,1
1584,HASH,n0,1/2,1/3,2,0,2,2
1591,HC_NONINT,n1,2/5,3/10,2,0,2,2
1593,HC_INT,n0,1,1,1,0,1,1
1593,HC_INT,n1,1,1,1,0,1,1
1598,HASH,n0,1/2,5/8,2,0,2,2
1605,HC_NONINT,n0,1/4,1/5,2,0,2,2
1607,HC_INT,n0,3/8,1/16,1,0,1,1
1612,HASH,n0,4/25,3/10,3,0,3,3
1619,HC_NONINT,n0,1/3,1/2,2,0,2,2
1620,HC_SHIFT_UNDER_HASH,n3,147/1000,2/5,4,0,4,4
1626,HASH,n0,1/8,2/3,6,0,6,6
1633,HC_NONINT,n1,1/16,5/8,10,0,10,10
1634,HC_SHIFT_UNDER_HASH,n1,1/10,4/25,3,0,3,3
1640,HASH,n0,5/8,2/5,2,0,2,2
1647,HC_NONINT,n0,147/1000,2/3,6,0,6,6
1647,HC_NONINT,n1,2/3,147/1000,2,0,2,2
1649,HC_INT,n0,1,1/10,1,0,1,1
1654,HASH,n0,1/5,1/5,1,0,1,1
1654,HASH,n1,1/5,1/5,1,0,1,1
1665,HC_DEEP,n2,2/3,1/5,2,0,2,2
1668,HASH,n0,2/3,1,2,0,2,2
1668,HASH,n1,1,1/4,1,0,1,1
1668,HASH,n2,2/3,1,2,0,2,2
1675,HC_NONINT,n2,147/1000,1/2,5,0,5,5
