plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
76,NTHETA,HC_DEEP,6,n0,NTHETA,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
76,NTHETA,HC_DEEP,6,n1,NTHETA,6/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
76,NTHETA,HC_DEEP,6,n2,NTHETA,9/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
76,NTHETA,HC_DEEP,6,n3,NTHETA,9/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
76,NTHETA,HC_DEEP,6,n4,NTHETA,16/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
76,NTHETA,HC_DEEP,6,n5,NTHETA,16/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
77,AGSE,HC_DEEP,5,n0,AGSE,1/6,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
77,AGSE,HC_DEEP,5,n1,AGSE,4/15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
77,AGSE,HC_DEEP,5,n2,AGSE,8/15,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,
77,AGSE,HC_DEEP,5,n3,AGSE,1/12,5,5,6,5,5,5,1,0,1,0,0,5,0,5,0,
77,AGSE,HC_DEEP,5,n4,AGSE,2/9,4,4,5,4,4,4,1,0,1,0,3,4,0,1,0,
78,REDUCE,HC_SINGLE,2,n0,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
78,REDUCE,HC_SINGLE,2,n1,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
79,HC_NONINT,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n0,HASH,1/103,34,34,35,34,34,34,1,0,1,0,0,34,0,34,0,
79,HC_NONINT,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n1,SHIFT,2/5,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
79,HC_NONINT,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n2,HASH,1/5,10,10,13,10,10,12,1,0,1,0,10,10,0,0,0,
80,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,AGSE,15/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
80,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,SHIFT,15/8,8,8,10,8,8,9,1,0,1,0,8,8,0,0,0,
80,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,PASS,15/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
80,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
80,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,HASH,15/16,17,17,22,17,17,21,1,0,1,0,16,17,0,1,0,
81,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,SHIFT,1/10,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
81,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,HASH,1/20,2,2,5,2,2,4,1,0,1,0,2,2,0,0,0,
81,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,SHIFT,1/10,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
81,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,HASH,1/20,4,4,7,4,4,6,1,0,1,0,4,4,0,0,0,
81,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,SHIFT,1/10,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
82,HC_SINGLE,HC_SINGLE,1,n0,SHIFT,1/4,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
83,HC_DEEP,HC_DEEP,4,n0,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
83,HC_DEEP,HC_DEEP,4,n1,THETA,9/8,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
83,HC_DEEP,HC_DEEP,4,n2,ADD,3/8,5,2,6,5,2,5,0,0,1,0,0,2,0,2,0,
83,HC_DEEP,HC_DEEP,4,n3,REDUCE,3/8,5,2,7,5,2,6,0,0,1,0,2,2,0,0,0,
84,PASS,HC_DEEP,6,n0,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
