case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,STRUCT_R1,6,6,90,684,0,666835,839213,864825,368471083,39415,735033,975134,984139,1012813,20340,62,573511,1464,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q08,STRUCT,1,6,90,684,0,629891,901028,950750,375804781,32020,705285,1017121,1072005,1087152,20340,62,576920,1815,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT_R1,1,6,90,684,0,642216,799048,865620,358716467,32649,711073,929944,954090,1008179,20340,61,586531,1500,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,STRUCT_R1,14,6,90,684,0,642827,808695,863325,359884334,32666,711056,936375,948851,951932,20340,61,575197,1630,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q32,STRUCT,11,6,90,684,0,2495668,2851211,2973637,1350181971,36191,2589208,2997823,3046666,3067768,20472,164,1872185,3148,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6096
W2_Q01,STRUCT_R1,7,6,90,684,0,136433,266034,272164,92847731,31806,199571,386931,400492,411033,20340,32,273572,1314,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q08,STRUCT_R1,8,6,90,684,0,656363,815121,850935,363567601,38577,710441,938383,950643,966256,20340,61,580309,1592,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q01,STRUCT,11,6,90,684,0,144146,319089,365663,98755258,36842,184508,438666,471646,492671,20340,34,260347,1446,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q01,ALGSTRUCT,2,6,90,684,0,137267,269664,479902,93844417,33642,201193,388710,420186,638844,20340,32,271477,1150,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q08,OFF,10,6,90,684,0,638771,913361,960656,380711099,36642,717136,1038277,1098752,1110515,20340,63,463903,2129,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q08,ALGSTRUCT,10,6,90,684,0,647077,816177,868102,361887911,36098,716524,943815,964228,968453,20340,61,589903,1591,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,STRUCT,6,6,90,684,0,137156,324756,346941,98726763,40900,187964,447360,462323,474161,20340,33,263423,1426,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
