plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1486,HASH,n0,1/10,1/10,1,0,1,1
1493,HC_NONINT,n3,1/100,147/1000,16,0,16,16
1495,HC_INT,n1,1/2,1/16,1,0,1,1
1500,HASH,n0,2/5,1/3,2,0,2,2
1511,HC_DEEP,n3,3/8,5/8,3,0,3,3
1514,HASH,n0,3/8,1/100,2,0,2,2
1514,HASH,n2,1/100,3/8,38,0,38,38
1521,HC_NONINT,n1,3/8,147/1000,2,0,2,2
1522,HC_SHIFT_UNDER_HASH,n2,4/25,1/10,2,0,2,2
1523,HC_INT,n1,3/8,1/16,1,0,1,1
1528,HASH,n0,1/4,5/8,3,0,3,3
1535,HC_NONINT,n0,5/8,147/1000,2,0,2,2
1537,HC_INT,n0,2/5,1/10,1,0,1,1
1542,HASH,n0,2/5,147/1000,2,0,2,2
1551,HC_INT,n1,3/10,1/100,1,0,1,1
1551,HC_INT,n2,1/100,3/10,30,0,30,30
1556,HASH,n0,2/3,147/1000,2,0,2,2
1565,HC_INT,n2,5/8,5/8,1,0,1,1
1570,HASH,n0,1/2,2/5,2,0,2,2
1570,HASH,n1,1/2,2/5,2,0,2,2
1570,HASH,n2,2/5,1/2,2,0,2,2
1581,HC_DEEP,n1,1/16,147/1000,4,0,4,4
1584,HASH,n0,1/4,1/8,1,0,1,1
1591,HC_NONINT,n2,3/10,1,4,0,4,4
1593,HC_INT,n1,1/100,1/8,13,0,13,13
1598,HASH,n0,1/10,4/25,3,0,3,3
1607,HC_INT,n0,1/4,1/8,1,0,1,1
1607,HC_INT,n1,1/8,1/4,2,0,2,2
1612,HASH,n0,1/100,1/10,10,0,10,10
1612,HASH,n1,1/100,2/5,40,0,40,40
1619,HC_NONINT,n2,5/8,3/10,2,0,2,2
1621,HC_INT,n0,4/25,4/25,1,0,1,1
1626,HASH,n0,147/1000,2/3,6,0,6,6
1640,HASH,n0,1/5,3/10,2,0,2,2
1647,HC_NONINT,n0,1/100,3/8,38,0,38,38
1647,HC_NONINT,n1,3/8,1/100,2,0,2,2
1647,HC_NONINT,n2,1/100,3/8,38,0,38,38
1654,HASH,n0,1/16,1/16,1,0,1,1
1668,HASH,n0,1/16,2/3,12,0,12,12
1668,HASH,n2,2/3,1/16,2,0,2,2
1668,HASH,n3,1/16,2/3,12,0,12,12
1675,HC_NONINT,n2,147/1000,5/8,6,0,6,6
1677,HC_INT,n1,1/3,1/10,2,0,2,2
1682,HASH,n0,1/8,1/8,1,0,1,1
1682,HASH,n2,1/8,1/8,1,0,1,1
