case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,ALGSTRUCT,14,6,90,684,0,651476,822846,901345,363184821,38886,705516,946604,973565,979102,20336,60,581846,1612,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,ALGSTRUCT,6,6,90,684,0,639300,814512,834420,357998165,34809,707371,947529,958305,970761,20340,60,587644,1833,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q08,ALGSTRUCT,12,6,90,684,0,640633,816624,963770,358798499,44932,710159,951160,1005224,1155298,20340,60,597532,1481,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q01,OFF,8,6,90,684,0,142267,328905,363812,99028736,36084,192467,453352,473155,480415,20336,33,204795,2092,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q08,STRUCT,2,6,90,684,0,610115,881753,906253,369143542,35509,690020,1014093,1029317,1031988,20336,61,574108,1888,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q01,ALGSTRUCT,4,6,90,684,0,135490,276702,317331,93362491,34751,199532,401568,421857,454236,20336,32,275923,1241,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q08,OFF,7,6,90,684,0,635394,914734,943807,379405079,38056,713585,1044125,1068567,1077416,20336,62,465145,1759,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,ALGSTRUCT,10,6,90,684,0,137054,276294,310683,94380523,38109,200812,402253,427556,432838,20340,32,274665,1444,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q01,OFF,9,6,90,684,0,138230,322498,371330,98229129,38194,184562,445714,455071,472463,20336,33,200572,1519,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q32,STRUCT_R1,2,6,90,684,0,2391519,2689517,2801683,1272560313,46559,2481675,2832912,2899218,2999475,20468,156,2245446,3519,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6100
