ts_epoch,load1,mem_used_kb,temp_mC
1785437465,1.75,311756,40894
1785437466,1.75,312404,40407
1785437467,1.75,312480,41381
1785437468,1.75,310844,41868
1785437469,1.75,309964,41868
1785437470,1.93,307100,40894
1785437471,1.93,306492,41381
1785437472,1.93,308432,40894
1785437473,1.93,309052,41868
1785437474,1.93,309556,41381
1785437475,2.09,308780,40894
1785437476,2.09,302424,42355
1785437477,2.09,310200,41868
1785437478,2.09,308752,40894
1785437479,2.01,309744,42355
1785437480,2.01,309424,41381
1785437481,2.01,309188,41868
1785437482,2.01,296940,42355
1785437483,2.01,305884,41381
1785437484,1.85,305980,41868
1785437486,1.85,307912,40894
1785437487,1.85,307172,41381
1785437488,1.85,306792,41868
1785437489,1.85,305956,42355
1785437490,1.78,311608,40894
1785437491,1.78,310736,40894
1785437492,1.78,311684,39920
1785437493,1.78,310512,41381
1785437494,1.78,309932,40407
1785437495,1.88,309452,41868
1785437496,1.88,311592,41381
1785437497,1.88,310792,41868
1785437498,1.88,311320,40894
1785437499,2.21,312076,40894
1785437500,2.21,311768,41868
1785437501,2.21,311120,41868
1785437502,2.21,315936,41381
1785437503,2.21,315164,41381
1785437504,2.19,314616,41868
1785437505,2.19,312572,40407
1785437506,2.19,311988,40894
1785437507,2.19,310652,41381
1785437508,2.19,300356,41381
1785437509,2.01,309612,41381
1785437511,2.01,308148,40894
1785437512,2.01,308448,41381
1785437513,2.01,309136,41868
1785437514,2.01,308380,41868
1785437515,1.85,304520,41381
1785437516,1.85,309976,40407
1785437517,1.85,309352,40407
1785437518,1.85,312664,41868
1785437519,1.85,311576,41381
1785437520,1.78,310708,42842
1785437521,1.78,310916,41381
1785437522,1.78,311552,39920
1785437523,1.78,310700,41381
1785437524,1.72,311364,41381
1785437525,1.72,310068,41868
1785437526,1.72,309300,41381
1785437527,1.72,309660,40894
1785437528,1.72,314280,41381
1785437529,1.58,313140,40894
1785437530,1.58,313992,40407
1785437531,1.58,313524,41381
1785437532,1.58,312404,41868
1785437533,1.58,310956,40894
1785437535,1.54,310884,40407
1785437536,1.54,310308,39920
1785437537,1.54,312084,41381
1785437538,1.54,311984,40407
1785437539,1.54,310824,40407
1785437540,1.41,310308,40894
1785437541,1.41,295376,42355
1785437542,1.41,304508,40407
1785437543,1.41,304696,40407
1785437544,1.41,306600,40894
1785437545,1.46,306356,42355
1785437546,1.46,305144,41381
1785437547,1.46,303332,41868
1785437548,1.46,313468,40407
1785437549,1.34,312012,41381
1785437550,1.34,312684,41381
1785437551,1.34,311676,39920
1785437552,1.34,311404,41381
1785437553,1.34,301492,41868
1785437554,1.31,312136,40407
1785437555,1.31,311176,40407
1785437556,1.31,312712,40894
1785437557,1.31,312872,41381
1785437558,1.31,311592,41381
